Latitude;Longitude
52,0355527;5,570631851
51,98330208;5,662596478
52,05042125;5,661733129
52,02558777;5,65658901
52,0514278;5,631767733
52,04577536;5,675285906
52,03050135;5,602638707
52,0032873;5,55510956
52,02451977;5,574939601
52,00814796;5,530737944
51,95856986;5,608070609
52,029439;5,629816206
52,14919789;5,657128603
52,08049725;5,411973533
52,02272127;5,679692582
52,02108872;5,57423813
51,99538066;5,673811019
52,14575985;5,466553361
52,13410829;5,498038611
52,0616026;5,577457702
52,02946113;5,532797391
52,02009809;5,574130212
51,98628187;5,498892966
52,01968855;5,658243762
52,02967139;5,550756843
52,00354197;5,680277141
52,02542176;5,579058494
52,12265798;5,752843401
51,96001073;5,643881596
52,1480004;5,582385984
52,04943128;5,64638171
52,01951145;5,544803334
52,03977923;5,695061988
51,97479915;5,662731376
52,02892995;5,545001185
52,02719802;5,543948979
51,97036147;5,675834492
52,10541071;5,711159845
52,04283824;5,686419507
52,04886162;5,660797835
52,0201313;5,640005519
52,00631005;5,556152773
52,05717906;5,549066119
51,96717006;5,66472787
52,02634034;5,522715996
52,07981192;5,431740622
51,97079916;5,688119225
51,97093767;5,532140886
51,9669983;5,544803334
52,07148211;5,532392696
52,02596959;5,650356711
52,00808153;5,557312898
52,08190104;5,478298501
51,98855259;5,490556255
52,18024959;5,656211295
52,02294263;5,538687947
52,02833236;5,653927018
52,19167958;5,41143394
52,17796103;5,298092438
52,20347041;5,413961034
52,33717795;5,615696856
52,15014151;5,402152941
52,35835052;5,655491837
52,33236959;5,630481704
52,13292143;5,435508779
52,21525259;5,494693134
52,12719097;5,416191351
52,17472927;5,417342483
52,13649846;5,428260247
52,2269986;5,466337524
52,2187073;5,269062337
52,204231;5,302391195
52,17803272;5,371243257
52,13992065;5,396981842
52,17463;5,467021008
52,18313907;5,409203622
52,2133185;5,468181133
52,17165172;5,287813192
52,36250803;5,647128147
52,33133091;5,536313738
52,18984922;5,43416879
52,11610889;5,285879651
52,33733731;5,642442681
52,25218254;5,258288464
52,23182943;5,372205532
52,15871043;5,303497361
52,18870796;5,434852275
52,14956761;5,360802134
52,14593093;5,383905706
52,21432137;5,461876889
52,1137121;5,406127943
52,21329095;5,467308791
52,33232013;5,640086458
52,22212868;5,501042345
52,25239726;5,257506054
52,11540201;5,296023998
52,18478224;5,294018511
52,17695182;5,3889509
52,23027062;5,377439583
52,17015147;5,354425943
52,19922078;5,37818602
52,15836836;5,374139073
52,34880929;5,636174409
52,1577394;5,411146157
52,15754078;5,410318781
52,33057799;5,518264354
52,19288141;5,377376631
52,17353799;5,267020877
52,20854077;5,285070261
52,3036074;5,626551668
52,34090888;5,635859647
52,17193853;5,454754262
52,20144761;5,415750684
52,17706212;5,301276037
52,25883272;5,600453355
52,33457875;5,529991507
52,33557889;5,523561358
52,15688974;5,382916452
52,18257111;5,407476925
52,32974812;5,59881659
52,13891058;5,348418475
52,3635295;5,648782898
52,344178;5,633377519
52,18789748;5,432037398
52,22005164;5,462191651
52,19042811;5,419186092
52,2524413;5,604985936
52,19556059;5,429879026
52,20334915;5,422882304
52,2177486;5,285825691
52,19961765;5,295286555
